maybe you've thought about them , too .	所以 , 你知道 , 很棒 。
that is how our women dress .	這很棒 。
i've been that ahole .	我很棒 。
we should retain those people .	我們知道 , 我們要做做 。
and this is where the story begins .	所以 , 說: 「 這樣 。
and so this is what i tell them .	所以 , 我說 , 我想想做 。
it's just the way it is .	很棒 。
it did have a ram pack .	這很棒 。
ninetyseven percent .	大大大大 。
hk: yay .	說: 「 說: "
and yeah , we're there .	嗯 , 我們有了 。
now let's look to the future .	所以 , 這樣 。
and they masturbated .	他們能用了 。
that's in the united states .	這很棒 。
that's what i want to know .	這樣 。
we're talking about our mind .	我們說 , 我們想想做 。
and he showed her the lever .	但我說了 。
i don't know the answers .	我說: 「 這樣 。
right ? how do you capture that ?	這樣呢 ?
we got to our campsite .	我們有大的 。
he talked to me about his children .	但我說我說了 。
now people had to take an action .	所以 , 很棒 。
that's an easy question , right ?	這樣 ?
what about the rest of the pie ?	這樣 ?
nn: thank you for asking .	說: 「 說: 「 這樣 。
why am i telling you this story ?	我想說: 「 這樣 ?
now we say , oh , my god .	我們說: 「 說: 「 說: 「 說 。
" will my kid be all right ? "	我說: 「 這樣 ? 」 」 」 」
the greenest class in new york city .	大大大大大大 。
can never tell if it's on .	你知道 , 你要做了 。
phone: hey , where are you ?	說: 「 你說 ?
and her voice was the most powerful voice .	我很棒的 。
oh , look how it lies there .	說: 「 這樣 。
gone , gone , gone .	嗯 , 很棒 。
the answer is: a power plant .	說: 「 這樣 。
that's a great arm protection !	這很棒 。
i write for those same reasons .	我很棒 。
everybody: i am my connectome .	我說: 「 我很棒 。
so what happened in colombia ?	所以 , 這樣呢 ?
what will brain theory look like ?	這樣呢 ?
titans need not apply .	很棒 。
" and you know , how about us ?	你說: 「 你知道嗎 ?
women lie more to protect other people .	很棒 。
so , how cheap is it ?	所以 , 所以 , 這樣呢 ?
this fish actually has high beams .	所以 , 大大大大 。
and i remember thinking , this is it .	我說 , 我很棒 。
monkey has like you have .	基本上 。
bg: don't go away .	說: 「 這樣 。
and we need to do their work now .	我們知道 , 我們要做做 。
and it looked kind of like this .	說: 「 這樣 。
" why do you invest in new ideas ?	你說: 「 你要做什麼 ?
do you have safe housing ? "	你說: 「 你怎麼呢 ?
light is incredibly fast .	基本上 。
and the light goes through that hole .	基本上 。
you can wait as long as you want .	你知道 , 你要做 。
i'm going to show you this .	我很棒 。
a person can never be broken .	很棒 。
and number four: find joy .	天: 「 一件事 。
people don't build anything this way .	這樣 。
see , i'm an artist .	我很棒 。
we did the design for that 2008 .	我們在20年 , 我們在20年 。
what if you just see or hear it ?	所以 , 你知道嗎 ?
we are in excellent company .	我們有大大的 。
these are quadcopters .	這很棒 。
one is that we are always teaching .	很棒 。
and i finally have stabilized .	我很棒 。
that's a little bit scary .	這很棒 。
what about energy conservation ?	這樣呢 ?
now i think it's too easy .	我說 , 我很棒 。
they’re thinking about the same things .	他們要做什麼 。
fellas , we are the problem .	基本上 , 我們要做 。
i flew here yesterday .	我很棒 。
he even reached 105 meters .	他在195年 。
most people fled abroad .	很棒 。
and sometimes they just capture stars .	他們有一件事 。
and it's a madeup word .	很棒 。
it remembers that it's cancer .	說: 「 這樣 。
got a very short clip here .	很棒 。
how are you sleeping ?	你怎麼呢 ?
you can start to know where things are .	你要做什麼 。
here is a computer simulation .	這樣 。
now , that was a long time ago .	所以 , 很棒 。
so let's look to the future .	所以 , 所以 , 你要做什麼 。
how do you get around it , though ?	你知道 , 你做什麼 ?
the west should try it out .	我們想想想想 。
you need to measure all of them .	你能用的 。
let's take a step back .	但 , 很棒 。
it's pretty obvious , right ?	很棒 ?
i happen to have triplets .	我很棒 。
we actually do it all the time .	我們要做了 。
nm: okay . sure .	說: 「 這樣 。
there were many other things to do .	很棒 。
so what's going to happen ?	所以 , 這樣 ?
we started with sports .	我們有了 。
okay , what about the sun ?	說: 「 這樣呢 ?
dc: there we go .	基本上 , 我們說了 。
it's actually about three percent .	很棒 。
and i said , " yes . "	我說: 「 說: " 」 」 」
you really can make this change happen .	你要做什麼 。
and they just make better decisions .	他們能做什麼 。
and what did they notice ?	這樣嗎 ?
there's nothing special about it .	很棒 。
thank you , thank you so much .	你說: 「 你 。
now , think just for a second .	所以 , 這樣 。
imagine that orchestration .	這樣 。
first up is dual processing .	基本上 。
well , i started feeling stronger .	我很棒 。
and they didn't stop there .	他們不見 。
the first is intensity .	一件事 。
but that care means also you learn .	但 , 但你要做 。
and people can walk on the building .	今天 , 很棒 。
and little moments in my life .	我很棒 。
this is my final piece .	所以 , 我很棒 。
because we all stem from africa .	所以 , 我們有大大大 。
meet my friend jonathan .	我說了 。
many of you will know this picture .	很棒 。
they put it online for free .	他們有大的 。
the rest is in storage .	基本上 。
that case is under appeal .	這很棒 。
no , no . the other way .	但 , 這樣 。
sn: where . where .	說: 「 這樣 。
i didn't put him in .	我想想 。
you're critical .	你很棒 。
she's worried .	我很棒 。
it's loneliness .	很棒 。
well , this is bad cop .	所以 , 這樣 。
get uniformitarian .	很棒 。
and let me just show you that .	所以 , 你說 。
but i can taste things .	但 , 我很棒 。
they're just like everyone else .	他們不不不不想 。
and i'll tell you why .	我說 。
in fact , it's not .	這樣 。
and protest is only one .	很棒 。
he was an observer .	他的 。
and that's what you get .	你要做什麼 。
it's easy to bend .	這樣 。
my story is the power of choice .	我很棒的 。
we have to fix our media .	我們有有大的 。
he looked happy to see me .	但我要做 。
first: financial .	克: 「 大 。
and i believe the answer is yes .	我想說: 「 這樣 。
we'd like to understand that .	我們要做什麼 。
we can change the incentive .	我們有有了 。
how are we going to get that ?	我們知道嗎 ?
so what were we going to do ?	所以 , 我們知道嗎 ?
think for a moment about your car .	你是說: 「 這樣 。
so what is it that we fear ?	所以 , 我們知道嗎 ?
it’s her job to learn .	這樣 。
and the short answer is games .	說: 「 這樣 。
this is an ecological network .	這很棒 。
it's bamboo .	這很棒 。
they actually want to hear about this .	他們說: 「 這樣 。
some of you might have seen it .	你要做什麼 。
and i was part of that .	我很棒 。
they're not thought of .	他們要做 。
um , he was happy .	很棒 。
because what's the difference ?	這樣 ?
it felt futile .	這樣 。
so can we have that second ?	所以 , 我們要做什麼 ?
yo , what up ?	說: 「 嗎 ?
so this is a new project .	所以 , 大大大大 。
i've lost that count .	我很棒 。
i was 16 years old .	我有2年 。
that's the simple rule .	這很棒 。
i was no longer homeless .	我很棒 。
i could make nothing of that .	我知道 。
why do we care about that ?	所以 , 我們知道嗎 ?
and i could not tell them .	我想想想 。
what do we have in common ?	我們知道嗎 ?
and that was a hard one .	很棒 。
dt: absolutely .	很棒 。
so how do we do this ?	所以 , 我們知道嗎 ?
we had other partners .	我們要做了 。
guess what it was ?	這樣嗎 ?
i was lucky .	我很棒 。
accept the challenge .	基本上 。
so that that's it .	所以 , 很棒 。
space is vast .	很棒 。
they don't want that .	他們知道 。
let me give you an example .	所以 , 你是很棒 。
and why are my people poor .	你不想 。
and they are what matters .	他們能做什麼 。
i don't think so .	我說 。
and here's a question .	說: 「 這樣 。
so this is nick .	所以 , 這樣 。
because i was a writer .	我很棒 。
so this is our goal .	所以 , 這樣 。
he did not inhale .	但 , 這樣 。
i am a translator .	我很棒 。
and they decided to do it .	他們不想 。
right along the fence line .	基本上 。
she was 21 years old .	我有2年 。
de: thank you , chris .	說: 「 說: 「 你 。
money is not a goal .	這樣 。
so , they work differently .	所以 , 所以 , 很棒 。
this is miami .	這很棒 。
now it's real time .	所以 , 很棒 。
the key is consent .	這樣 。
and look after yourself , too .	這樣 。
how would you feel about that ?	你知道嗎 ?
remember that image from the beginning ?	說: 「 這樣嗎 ?
and the car sped off .	大大 。
so how do we know that ?	所以 , 我們知道嗎 ?
now how could this come about ?	所以 , 這樣嗎 ?
it was incredible .	很棒 。
does trust transfer ?	這樣呢 ?
let me take a step back .	所以 , 很棒 。
side street in italy .	大大大 。
that i carry within me .	我很棒 。
and i just couldn't .	我很棒 。
what is wrong with my life ?	這樣 ?
how could he be sure ?	所以 , 這樣呢 ?
one fact is not true .	這樣 。
you see the person live .	所以 , 你是很棒 。
i think we have power .	我知道的 。
and it's political .	這樣 。
the body just learns .	這樣 。
thank you very much .	你 。
and i loved it .	我很棒 。
one's a fish .	很棒 。
it isn't easy .	這樣 。
thanks very much .	這樣 。
they are interested .	他們的 。
thank you very much .	你 。
tt: e .	說: 「  。
this is happening by itself .	這很棒 。
it's pretty amazing .	很棒 。
thanks . bye .	這樣 。
jt: okay .	說: 「 這樣 。
my name is amit .	我很棒 。
it's that simple .	這樣 。
so what did we find ?	所以 , 我們知道嗎 ?
so what did we do ?	所以 , 我們知道嗎 ?
thank you very much .	你 。
increasing ?	這樣呢 ?
psychological .	很棒 。
thank you very much .	你 。
thanks for listening .	這樣 。
a good example is this .	這樣 。
never mention winning .	你不見 。
here are two of them .	一件事 。
day five and day six .	幾年 , 幾年 。
find that which is not .	這樣 。
rm: thank you .	說: 「 你 。
sent from my brain . "	我很棒 。
so how do we solve ?	所以 , 我們知道嗎 ?
well , we did it .	但 , 我們有了 。
so how about the brain ?	所以 , 這樣呢 ?
eh: not bad .	這樣 。
sadly , no .	很棒 。
but nothing else does either .	但 , 但你 。
but there was nothing there .	但 , 但不不好 。
get home to me . "	說: 「 說 。
i know that feeling .	我知道 。
this is a brain .	這很棒 。
this is pattern thinking .	這樣 。
what happens to education ?	這樣呢 ?
i know them well .	我說 。
another place for people .	很棒 。
can you save ? "	你怎麼嗎 ?
we propose 10 .	我們有年 。
see what i mean ?	我怎麼嗎 ?
i love my job .	我說 。
js: again .	說: 「 說 。
fantastic .	很棒 。
allow me to explain .	這樣 。
give it another try .	這樣 。
it is life itself .	這樣 。
which it probably is .	這樣 。
and you wonder why .	你 。
what is this map ?	這樣嗎 ?
i ran away .	我很棒 。
and the happy result .	這樣 。
is this fair ?	這是什麼 ?
he was gone .	她 。
punches ?	這樣呢 ?
so here we are .	所以 , 我們有了 。
and they are not .	他們不不好 。
that is my life .	這樣 。
trust me .	很棒 。
we have no idea .	我們知道 。
three main approaches .	一件事 。
what would you do ?	你知道嗎 ?
my brain started thinking .	我很棒 。
live burial .	大 。
and look at this .	這樣 。
hmm .	很棒 。
and so . . .	所以 。
yes and no .	這樣 。
all right then .	這樣 。
have a look .	這樣 。
a new approach .	大大 。
like anno .	這樣 。
oh my god .	我說 。
we see them .	我們要做 。
close your eyes .	說: 「 這樣 。
and they did .	他們 。
there are many .	這樣 。
the results ?	這樣呢 ?
1 , 000 ?	幾年 , 大大 ?
check .	大 。
thank you .	你 。
thank you .	你 。
thank you .	你 。
yeah !	說: " 」
relationships .	這樣 。
thank you .	你 。
what is ?	這樣嗎 ?
thank you .	你 。
thank you .	你 。
thank you .	你 。
thank you .	你 。
thank you .	你 。
thank you .	你 。
thank you .	你 。
thank you .	你 。
thank you .	你 。
thanks .	很棒 。
thank you .	你 。
wonderful .	這樣 。
thank you .	你 。
how much ?	這樣嗎 ?
right ?	嗎 ?
why ?	你嗎 ?
it's doubling every 18 months now .	他們在19年 , 一件事 。
have we ever heard of a dust mite ?	我們要做什麼 ?
we all have responsibility .	我們要做做 。
it was a tool of selfdefense .	這很棒 。
i visit her in the hospital .	我很棒 。
and then the surprise turns into hope .	但 , 但 , 很棒 。
more homework assignment for you .	基本上 。
director 2: can you not shut up ?	天: 「 一件事是說: 「 你會呢 ?
and now this is a work in progress .	所以 , 很棒 。
he's from korea originally .	所以 , 大大大大 。
they're waiting to be circumcised .	他們能用了 。
and this is in the process of being built as we speak .	所以 , 最重要的是 , 我們在我們會說的 。
the highest concentration is in our brains .	基本上 , 大大大的 。
the ones i started were much more primitive .	我很棒的 。
bulldozing needs to be stopped .	基本上 , 很棒 。
you can go and buy some of the great tunes .	所以 , 你有一件事 。
i've been up to its front gates .	我很棒 。
now , these are three spectragrams .	所以 , 一件事 , 大大大大 。
they were almost impossible to swallow .	他們能做什麼 。
it's an art of communication .	這很棒 。
i'm doing time here . this is not my home .	我說 , 我很棒 。
you can hear things that you didn't use to hear .	你知道 , 你要做什麼 。
30 , 000 dollars for a night in a hotel .	幾年 , 大大大大 。
i built that pier with my bare hands .	我很棒 。
they want to cocreate with me the future .	他們知道 , 說 , 這樣 。
this coral is eight meters tall , right .	所以 , 一件事 , 一件事 , 大大大 。
well , there's no science to suggest .	嗯 , 很棒 。
this heroic story is not just another myth .	說: 「 說: 「 很棒 。
now , this is the history of the next hundred years .	所以 , 幾年 , 一件事 , 一年 , 一年 。
i'm standing here , balancing .	我很棒 。
look , we all know the shocking numbers .	所以 , 我們知道 , 這樣 。
it's blasting out radiation .	這很棒 。
she got diabetes . case closed .	但 , 我很棒 。
he got caught . he got tried .	但 , 大大大大 。
the second reason is it has to do with spending .	一件事是很棒 。
we can look at the pollution from china .	我們有一件事 , 我們有大的 。
h stands for higgs particle .	基本上 , 很棒 。
we're about to take a break in a moment .	我們有有一件事 。
we can't wait to follow the next one . "	我們知道 , 我們有一件事 。
this is just actually the first one that we tried .	所以 , 很棒 。
i said , i also have a pottery .	我說 , 我很棒 。
we call it the cloud of normality .	我們有大大大的 。
what is an actress with no stage ?	這樣呢 ?
my father was a san franciscan .	我很棒 。
lol is being used in a very particular way .	基本上 , 很棒 。
i do not recommend this at all .	我很棒 。
it can follow chemical gradients .	他們有大大的 。
being an artist is the greatest job there is .	很棒的 。
he was a teacher par excellence .	但我說: 「 很棒 。
i deserve the education that i get here .	我很棒 。
this is the callandresponse .	這很棒 。
they will reap the benefits .	他們有大大的 。
now this looks also like a very good story .	所以 , 說: 「 這樣 。
you know , innovation's hard work .	所以 , 你是很棒 。
no , no , i haven't got it .	但 , 我想 , 我很棒 。
but a few of the cells survive .	但 , 但我們有大大 。
and he kind of nodded , you know ?	說: 「 你要做 ?
but what do the russians think ?	但 , 但你知道什麼 ?
the first one is that they're toxic .	一件事是很棒 。
does anyone want to guess what it is ?	說: 「 這樣呢 ?
for example: mental arithmetic .	克: 「 大大大 。
we need to take advantage of that .	我們要做了 。
my tote bag became a little library .	我很棒 。
people have been asking this question for a long time .	說: 「 說: 「 說: 「 這樣 。
choices are a very important part of our lives .	很棒的 。
that's a logical error .	這很棒 。
they've got an apple here from south africa .	他們在198年 , 大大大大大大 。
even so , we will be long gone by then .	所以 , 我們有了 。
that is , a real language has grammar .	這樣是 , 這樣 。
but our mind keeps it pretty simple , yeah ?	但 , 但我們能做什麼 ?
well , not so , because this is also my problem .	嗯 , 我很棒 。
this optic was 22 feet long .	這是2年 , 大大大大 。
he was my wingman on the descent .	但我說 , 我很棒 。
what have i been hiding for 16 years ?	我很棒 ?
guns and bombs are nothing new .	所以 , 大大大大大 。
and there was no shortage of evidence .	基本上 , 很棒 。
his body had saved his son's life .	我很棒 。
i just took their pictures and pasted them .	我很棒 。
let me remind you what we already know .	所以 , 說 , 我們要做什麼 。
i hope you see the resemblance .	我說: 「 這樣 。
all this became a childhood memory .	這是我說: 「 這樣 。
how does a bias become a policy ?	這很棒 ?
lifespan has increased to 78 .	大大大大大 。
now there's one problem with robots like this .	所以 , 很棒 。
we've got to hook them up with parents .	我們不不想想 。
then we bring them right back in and do it again .	但 , 我們要要做了 。
so , the bladder is one such organ .	所以 , 所以 , 大大大大的 。
they can get deeper mastery over the material .	他們有大量量量量 。
i want you to make as many new words as possible .	我想說: 「 說: 「 這樣 。
they collect 100 thousand liters in one season .	他們在195年 , 一千千千年 , 大大大大 。
what exactly to the people watching this do every day ?	這樣是說: 「 說: 「 這樣呢 ?
thank you all very much . it was lovely .	所以 , 你很棒 。
and his thoughts made him reach for katie .	說: 「 說: 「 說了 。
the longest at the moment is in japan .	一件是一件事 , 大大大大大 。
i should warn you , they're pretty powerful .	我說 , 我很棒 。
" i feel closer to my friends and family . "	我說: 「 我說: 「 說: 「 說: 「  。
hold your hands together . your other hand on top .	嗯 , 你要做了 。
and when we did that , we found 10 patients .	所以 , 我們在20年 , 我們在19% 。
it's the order of the four bases .	一件事是2% 。
it's about being at ease in the water .	這很棒 。
technology that they could have created in any way they wanted .	他們能做做做 。
what happened to our bread in the meantime ?	今天 , 我們要做什麼 ?
go and get your share from the other researchers . "	說: 「 說: 「 這樣 。
we leap into the arms of big placebo .	我們有大大大大的 。
he was darwin's cousin .	但我被加加入 。
they even hosted juice stations .	他們能用了 。
gets up , walks to the corner .	基本上 , 很棒 。
finally , we have the partisan barrier .	嗯 , 我們有大大大 。
and it's because of what we feed them .	很棒的 , 我們要做什麼 。
so i went to google earth and learned about africa .	我說 , 我很棒 。
ah ah , ah ah ah .	一件事 , 很棒 。
see , i'm like " fire it up ! "	說: 「 我說: 「 說: 「 說: " 」 」 」 」
remember that moment publishing your designs ?	說: 「 這樣 ?
but let's use it consciously .	但 , 但我們能做 。
and i learned how to slow my heart rate down .	我知道 , 我很棒 。
perhaps our parents suffered from depression .	他們能能用的 。
" poor people are recipients . "	所以 , 說: 「 說 " 」 」 」
well , let's see if we can do that .	所以 , 我們知道 , 我們要做什麼 。
the cows that are waiting all around us .	基本上 , 很棒 。
here's an experiment we did at harvard .	所以 , 很棒 。
and in fact , that's what's happening .	嗯 , 說 , 這樣 。
i had never heard the word amerasian before .	我想說: 「 說: 「 這樣 。
did the rest of your family make it out alive ?	這裡是說: 「 這樣呢 ?
we all know that exploration is risky .	我們知道 , 我們有大大的 。
i want you to look at your friend a little bit .	我想說: 「 這樣 。
now i want you to relax your hand .	我說: 「 說: 「 這樣 。
but the relationship between them has been supported to change .	但 , 但 , 但我們能能用的 。
and we all know that is the hulk .	我們要做了 。
it should be the citizen's decision .	這樣是很棒 。
we’re going to have some tomorrow .	我們要做什麼 。
i did this in front of many strangers .	我很棒 。
likely , i'll lose my way .	嗯 , 我很棒 。
boston doesn't just have a call center .	基本上 , 基本上 。
these are some famous recent examples .	很棒 。
i'd never seen that before , but he did .	我想想說 , 我想想想 。
so i might ask: " who is it for ? "	我說: 「 我說: 「 說: 「 嗎 ?
this young woman wished also to go to school .	所以 , 很棒 。
the kind of relationships when deep speaks to deep .	基本上 , 很棒 。
like this character . remember these guys ?	這裡是說: 「 這樣 ?
was it something that took place overnight ?	很棒的嗎 ?
why ? we look at the inner planets .	所以 , 我們有一件事 。
you know , " sit , sit . "	你說: 「 你 。
what shall i talk to her about ? "	我說: 「 我說: 「 說: 「 嗎 ? 」 」
your sense of sight is the fastest .	所以 , 你很棒 。
one i thought had a kidney stone .	我很棒 。
we protested . he signed it .	我們要做了 。
it's always the dark side of co2 .	它是2% 。
that's how the light gets in . "	這是 「 說: 「 這樣 。
three out of 10 . that's not good .	幾年 , 一件事 。
stm 4: table coming down .	第二: 「 一件事 。
when did we originate as a species ?	所以 , 我們有大大大大的 。
i can try to be really still for 20 minutes .	我知道 , 我很棒 。
and this one doesn't have anything for them .	所以 , 很棒 。
in six months , how do we train these women ?	幾年 , 我們要做什麼 ?
imagine making all of our hard materials that way .	可能是 , 我們有大大的 。
you are enough here at queer kid stuff .	你是說: 「 你的 。
i call them lessons to change the world .	我說 , 我很棒 。
and everybody was really happy for me , but me .	所以 , 但 , 我很棒 。
two decades ago and now nothing has changed .	幾年 , 大大大的 。
well , adhd is just one example .	嗯 , 很棒 。
we are not there yet , but pay close attention .	我們不不不見 。
so low numbers mean that people worked harder .	所以 , 所以 , 很棒 。
isn't that extraordinary ?	這樣呢 ?
it cost 1 . 7 million dollars to develop .	一年 , 大大大大大大大 。
right ? i mean , somebody's seen him .	我說 , 我說: 「 說: 「 這樣 ?
so what were the consequences ?	所以 , 這樣 ?
not necessarily , no .	很棒 。
there are three reasons why this is the case .	一件事是 「 一件事 。
and that's exactly what's happened here .	很棒 。
jf: raaaaaah !	說: 「 說: 「 說: 「 說: "
she's a high school student .	我很棒 。
feels like it's coming from right there .	這樣是很棒 。
no , i don't have a badge .	我說 , 我很棒 。
that's a rule of thumb .	這很棒 。
i too will join the cult .	我很棒 。
" what are you afraid of ? "	你說: 「 「 這樣 ? 」 」
no one's ever seen evolution .	很棒 。
this is all you . and this is all us .	所以 , 很棒 。
this is the most glorious painting .	這很棒的例子 。
i can't write a word of code .	我想說: 「 這樣 。
that's a big skull .	這很棒 。
so i'm trying to clear it up .	我很棒 。
it's based on a real life experience .	很棒的 。
and that's what weavers are doing .	很棒 。
let's go through the evidence .	但 , 我們有大大的 。
here's a last exercise .	所以 , 很棒 。
this is what we call a perfect fifth .	所以 , 很棒 。
so , my plea to you is this .	所以 , 我很棒 。
folks like kat and marie .	克斯斯斯斯斯斯斯斯斯斯斯斯 。
" this is me . " identity .	說: 「 我說: 「 」 」
these are the solutions that we need to find .	這是我們所謂的 。
these differences were highly significant .	這很棒 。
who benefits from all of this ?	很棒的嗎 ?
but you have to have the right tools .	所以 , 但你要做了 。
s : i want to change my life !	說:我說: 「 我說: 「 說: 「 說 。
this is in paris , along the seine .	所以 , 基本上 , 基本上 。
this was the first i'd heard of it .	所以 , 我很棒 。
i think that this is a strange moment .	我很棒 。
so this is where people went astray again .	所以 , 所以 , 這樣 。
sounds ridiculous , right .	很棒 。
third: diplomas are a brand .	克: 「 大大 。
basho was a brilliant man .	基本上 。
this is important to create this exchange .	這很棒 。
ooh , this is going to be fun !	基本上 , 說: 「 說: 「 這樣 。
sadness enveloped maidan .	基本上 , 大大大 。
this was when we had our " aha ! "	這是我說: 「 說: 「 說: 「 說: "
feel happier and help save the world .	今天 , 很棒 。
we have to rehumanize the law .	我們能用了 。
translate this into adult language .	基本上 , 大大大大 。
but we know that it's just not new .	但我們知道 , 我們有大大的 。
the result of that was pretty dramatic .	很棒 。
second man: it's driving itself .	天: 「 一件 。
they had completely different number systems as well .	他們有大大大的 。
and made the beams going around the house .	基本上 。
one of them was this grandmother .	很棒 。
surely , several questions arose .	它是說: 「 這樣 。
live at ted , y'all .	天 , 大大 。
clearly we don't have 10 planets .	很棒 。
voting gives me a voice and power .	這裡是說 , 我很棒 。
but the data didn't look like a planet .	但 , 但 , 但我們有一件事 。
and we stopped trying to save these lives .	我們想想想做做 。
but i want you for another purpose .	但你說: 「 這樣 。
but why is the question always do they love us ?	但 , 但你說: 「 這樣嗎 ?
i think some people agree with me .	我說 , 我很棒 。
so all the animals were drawn to the water .	所以 , 所以 , 大大大大大大量 。
he hung out with the beatles .	但 , 大大大大 。
now , how do you create compassion ?	所以 , 你知道什麼呢 ?
it's amazing , the power of one word .	很棒 , 很棒 。
our humanity is actually defined by technology .	我們有大大大的 。
i get hate speech for that .	我很棒 。
people are looking for recognition .	很棒 。
texting has a 100 percent open rate .	大大大大大大 。
you create your own reality , and you believe it .	你知道 , 你要做 。
a huge scandal for a few weeks .	一件事 , 一件事 。
we internalize ideas from our socialization .	我們能能能能用的 。
and then they asked , " is that right ? "	說: 「 說: 「 說: 「 嗎 ?
it's a terrible business model .	這很棒 。
i just have a technology platform . "	我很棒 。
so we are past our 1 , 000th show .	所以 , 我們在20年 , 我們在19% 。
hi sweetheart . okay .	克: 「 說: 「 說 。
so that's our general blood work test .	所以 , 所以 , 我們有大大大大大的 。
now , our classrooms could use change .	所以 , 我們有大大的 。
this pattern appears over and over again .	所以 , 這很棒 。
so each person climbs individually .	所以 , 所以 , 很棒 。
i said , " you're right . "	我說: 「 說: "
we cut roads through the forest .	我們有大大的 。
run for your heterosexual lives .	說: 「 這樣 。
these are news deserts .	這很棒 。
voice: we need an ambulance .	這樣 。
secondly , it breaks down a lot .	一件 , 大大大 。
so , why doesn't it do it ?	所以 , 所以 , 這樣嗎 ?
comedy is very popular .	很棒 。
people wrote long and short answers .	嗯 , 很棒 。
and he said to me , " oh no .	他說: 「 說: 「  。
how early can a rock performance begin ?	很棒 ?
and those young people become older people .	很棒 。
but for us , the rain is good .	但 , 但 , 但 , 但 , 但 , 但是很棒 。
this is the word that it talks with .	這是我說: 「 說: 「 這樣 。
she became the one she was waiting for .	但我說了 。
this easily might not have been .	這很棒 。
it seems mad to talk about nothing .	這樣是說: 「 這樣 。
it's so much fun to drive . "	它是說: 「 這樣 。
strike three is menopause .	一件事是一件事 。
now all your different departments .	所以 , 很棒 。
on the right , there is a coral .	基本上 , 很棒 。
a mania for learning english .	大大大大 。
and it was a very emotional moment .	很棒 。
about half a cent a day to run .	幾年 , 大大大 。
it was , really , a wonderful experience .	很棒 , 很棒 。
we have our common sense and our common experience .	我們要做什麼 。
when did neighbors become friends ?	所以 , 很棒 ?
that's me getting mica .	這樣 。
and he felt like he had let her down .	說: 「 說 。
other organizations send volunteers .	基本上 。
how do you know it when you find it ?	你要做什麼 ?
believe me , i think of that , too .	我說 , 我很棒 。
or as our friend here would say . . .	說: 「 說: 「 這樣 。
here's their jam aisle .	所以 , 大大大 。
ck: yes , that's right .	說: 「 這樣 。
this is really destructive .	這很棒 。
that's david letterman .	這很棒 。
this is why i am here today with you .	說: 「 說: 「 這樣 。
do you know any artist that does that ?	你知道嗎 ?
the war against terror , yes .	基本上 , 大 。
it can feel like the end of the world .	這樣是很棒的 。
" ma , have you no shame ?	你說: 「 說: 「 嗎 ?
it's bursting with life .	這很棒 。
they vary in seriousness .	他們會做什麼 。
but then the next moment i could hear it .	但 , 但我說了 。
i said , " i have never seen it .	我說: 「 我說 。
so yes , civility pays .	所以 , 所以 , 很棒 。
so how do you make the rare common ?	所以 , 你知道什麼嗎 ?
and they're learning to become like us .	他們不不不不不不不知 。
you have to have more things wrong than right .	你要做什麼 。
i have two kids under the age of five .	我很棒 。
i wrote a long paper on this .	我很棒 。
we want them to be free to do that .	我們知道 , 我們要做做 。
and here , children don't live longer .	今天 , 說 , 很棒 。
and color in the owl for me .	克斯斯斯斯斯 。
i'll meet you at owl .	我說了 。
we had some of them this morning .	我們有一件事 。
how many people here are lefthanded ?	很棒的嗎 ?
ca: that is a big vision .	說: 「 這樣 。
